id,severity,category,file,line_start,line_end,summary,recommendation,test_note
H-01,High,Repo hygiene,c:/Users/adell/Desktop/github_wallpaper/.gitignore,26,64,Missing ignore rules for generated Flutter ephemeral artifacts,"Ignore **/flutter/ephemeral/** and **/.plugin_symlinks/**; remove tracked generated files if present","N/A (verify clean git status after flutter pub get)"
H-02,High,Reliability/background,c:/Users/adell/Desktop/github_wallpaper/lib/app_services.dart,701,729,Temp wallpaper cleanup not safe across isolates/processes,"Delete only older files; introduce per-run directory or persisted mutex; avoid cross-trigger races","Add unit test for mutex/lease; integration test for concurrent triggers"
H-02,High,Reliability/background,c:/Users/adell/Desktop/github_wallpaper/lib/app_services.dart,846,885,FCM background handler can race with WorkManager and double-refresh,"Unify background pathways (pending flag vs direct refresh); coordinate with persisted mutex","Integration test: FCM-triggered refresh + WorkManager trigger near-simultaneous"
H-02,High,Reliability/background,c:/Users/adell/Desktop/github_wallpaper/lib/background_scheduler.dart,18,55,WorkManager task can overlap other background refresh triggers,"Check persisted mutex/lease before refresh; keep cooldown logic but make it cross-isolate safe","Integration test on Android; emulate timing overlap"
H-03,High,Backend deploy,c:/Users/adell/Desktop/github_wallpaper/functions/package.json,4,11,Node runtime pinned to 22 may be unsupported in target Firebase Functions runtime,"Confirm runtime support; pin to supported Node major (commonly 20) if needed","Deploy to staging project; validate scheduled runs"
M-01,Medium,Performance/battery,c:/Users/adell/Desktop/github_wallpaper/functions/index.js,19,29,FCM message uses high priority for periodic refresh,"Consider normal priority for periodic refresh; rely on WorkManager for guaranteed runs","Field test on OEM devices with battery restrictions"
M-02,Medium,Security/config,c:/Users/adell/Desktop/github_wallpaper/.gitignore,54,57,Firebase config ignore rules are commented out,"Decide policy; if public repo, consider removing committed config and documenting flutterfire configure","Verify clean-clone setup succeeds"
M-03,Medium,Dependencies,c:/Users/adell/Desktop/github_wallpaper/pubspec.yaml,10,71,Multiple major dependency upgrades available; transitive js package discontinued,"Upgrade in batches; identify root of js transitive dependency; re-run tests per batch","flutter analyze + flutter test per batch; Android smoke test"
M-04,Medium,Android build,c:/Users/adell/Desktop/github_wallpaper/android/app/build.gradle.kts,24,44,compileSdk/targetSdk set to 36 (toolchain/policy risk),"Align with stable SDK/AGP guidance unless needed; validate release build pipeline","Build release APK/AAB; device smoke test"
M-05,Medium,Testing,c:/Users/adell/Desktop/github_wallpaper/integration_test/exploratory_user_journeys_test.dart,1,999,Integration test not runnable in this Windows environment (ATL header missing),Run integration tests on Android emulator/device; add CI/Test Lab,"CI run on Android; ensure deterministic test setup"
L-01,Low,Observability,c:/Users/adell/Desktop/github_wallpaper/lib/main.dart,17,41,Several empty catches can hide failures,"Log sanitized breadcrumbs where safe; use catch(e,s) in debug paths","Add tests around error handling where practical"
L-01,Low,Observability,c:/Users/adell/Desktop/github_wallpaper/lib/app_services.dart,846,956,Swallowed exceptions during background init reduce diagnosability,"Add sanitized debug logging; ensure consent-aware Crashlytics usage","N/A"
L-02,Low,Maintainability,c:/Users/adell/Desktop/github_wallpaper/lib/app_services.dart,1,1025,God-object file concentrates many responsibilities (912 LOC),"Split into storage/github/wallpaper/fcm/bootstrap modules","Regression suite: flutter analyze + flutter test"
L-02,Low,Maintainability,c:/Users/adell/Desktop/github_wallpaper/lib/pages/home_page.dart,1,1424,Home page is very large and hard to maintain,"Extract sub-widgets and move sections into dedicated files","flutter test + UI smoke test"
